epoch,train_loss,test_rmse,test_mse,test_pearson,test_spearman,test_ci
1,4.6462719221909845,1.2641080077176086,1.597969,0.17374998044552956,0.17292386358777315,0.5866186798155704
2,1.0169015169143676,0.9930529987121484,0.98615426,0.08959725447960006,0.08529283389392593,0.5427576770850521
3,0.9180585394303004,1.0936706514186134,1.1961155,0.4568352973298954,0.4180179222212987,0.7120264671540529
4,0.8760305782159169,0.9913644455677498,0.98280346,0.545246591047916,0.5524412885694311,0.7822276138846915
