epoch,train_loss,test_rmse,test_mse,test_pearson,test_spearman,test_ci
1,2.9021122455596924,1.7489002041664072,3.058652,0.13749868416733688,0.15914771443496376,0.5790109359216479
2,1.082646503051122,1.7205852766956116,2.9604137,0.050076006577391974,0.0618265428331715,0.5307364327742913
3,1.0174084782600403,1.2237454763607467,1.497553,0.2543997753977835,0.2712219931013633,0.6355994538172061
4,1.002463738123576,1.2279623511162596,1.5078915,0.3820320660864556,0.39281140304875634,0.6979285491297438
5,0.9509703914324442,0.9837790304842166,0.9678212,0.4896780333397114,0.46813496601469934,0.7370965106263099
