epoch,train_loss,test_rmse,test_mse,test_pearson,test_spearman,test_ci
1,3.1619418144226072,1.4889274255706129,2.2169049,0.20388894453046635,0.21218832053029232,0.6063495530314451
2,0.9768396774927776,1.1462543523241986,1.313899,0.23659120204293413,0.24923992994054786,0.6248669065217881
3,0.8612290541330974,1.2920492538801334,1.6693913,0.39363195897261166,0.3657488990871962,0.6852934228971824
4,0.8276038805643717,1.0012731791848108,1.002548,0.6058572829930652,0.568942441913986,0.7926653870700601
5,0.7172052125136058,1.1849446157397423,1.4040937,0.6208333697715979,0.5897291879018219,0.8031508384839668
6,0.7085900704065958,1.1017443459480198,1.2138406,0.6249681995596785,0.5767049484217367,0.7969611756778519
7,0.6775813162326813,0.7971227298205948,0.63540465,0.6065032571356624,0.5658458968003846,0.790492961229489
8,0.7562563002109528,0.8479217957162652,0.7189714,0.6484336389077271,0.5776237144459082,0.7975875212029633
9,0.6305331110954284,0.7862839831845263,0.6182425,0.660679336489024,0.5565681835929936,0.7873376912421227
10,0.5859194238980611,0.7555509820344667,0.5708573,0.6995368133857902,0.6272828393396468,0.8261451974175414
11,0.572454618414243,0.8315276650203794,0.69143826,0.7082822056077008,0.622653813911943,0.8230943842960181
12,0.528949644168218,0.7219517340892829,0.5212143,0.6937525409329584,0.5958765025014001,0.8091121997310236
13,0.5429190357526144,0.7003463092832258,0.49048495,0.7473918754573143,0.6389926983062463,0.8339901454443156
14,0.5073545157909394,0.7249708071125804,0.5255827,0.7666456018314077,0.6625259411506897,0.846976824424231
15,0.48801546593507134,0.812034436869795,0.6593999,0.7558904061844495,0.6539998455984302,0.8423637085194465
16,0.45570532977581024,0.7574737814341095,0.5737665,0.7756975971563089,0.6602802500981616,0.8460090157353981
17,0.47104170521100364,0.7178358816375151,0.51528835,0.772448132946708,0.6575314205279423,0.8444037827629554
18,0.46317416429519653,0.9550629909073012,0.9121453,0.7704320759860634,0.6625148145593384,0.8474007847717716
19,0.45188270807266234,0.813915889666062,0.6624591,0.7803450354210173,0.6542880630868183,0.8432395239457473
20,0.4233014076948166,0.7899584829309947,0.6240344,0.7889220680690725,0.6713082456098528,0.8534537436114141
21,0.4261478503545125,0.7613057117089055,0.5795864,0.7700087417089586,0.6534735609108026,0.8420912897613675
22,0.4304783413807551,0.7850066844388317,0.6162355,0.7910424561410231,0.6596835929666364,0.8469538755673413
23,0.41590048174063365,0.7104931794818371,0.50480056,0.7944023556931126,0.6762544261594116,0.855976337354527
24,0.403843613465627,0.8097729032550987,0.65573215,0.789806700626864,0.6844408094406992,0.860311495121983
25,0.3839791009823481,0.8601929326771784,0.7399319,0.8064343375321552,0.6851967113847122,0.8622908340287233
26,0.3928041845560074,0.7767624718457031,0.60335994,0.8120831874024926,0.6996278280785718,0.8705401567406925
27,0.3807371308406194,0.6930245679117027,0.48028305,0.8004851640236441,0.6649095677078423,0.851057566416168
28,0.4017339636882146,0.5868941825762327,0.34444478,0.7886203418961713,0.6386272229796688,0.835051332240493
29,0.4420641362667084,0.6555226927829445,0.42971,0.7978207793215686,0.6721830435434057,0.853890563232212
30,0.3997279107570648,0.6417191860660978,0.4118035,0.8104024233352861,0.6971896677064585,0.8687121615884408
31,0.3691560139258703,0.7480940841239987,0.55964476,0.8097035759315047,0.692497927439773,0.865748593690093
32,0.38079747458299,0.6590448538315715,0.43434012,0.8088954616456905,0.6877621750874523,0.8628505091678705
33,0.3627000013987223,0.6592412849185828,0.43459907,0.8127047461120376,0.6730771792203648,0.8551948892104366
34,0.34782542983690895,0.656189166382929,0.43058422,0.8120242352039778,0.6885279698739728,0.8642715577802758
35,0.3489064892133077,0.8078782237486019,0.6526672,0.8082598528846824,0.6570268683568242,0.8460082243955054
36,0.34196170916159946,0.6741331432889769,0.4544555,0.8092948858274089,0.6762667122018219,0.8562626045607292
37,0.3322707752386729,0.7375488685322523,0.54397833,0.806694902979674,0.6776275144405193,0.8572658257097626
38,0.3408623650670052,0.6916076237591482,0.4783211,0.8168108108600689,0.6774868322385774,0.857892171234874
39,0.33645419478416444,0.6507234609528891,0.42344102,0.812860373515193,0.663368423492943,0.8499949947751784
40,0.334302681684494,0.61588509675892,0.37931445,0.8298702513974033,0.69452185919458,0.8682486342462626
41,0.3203334629535675,0.635173584348427,0.40344548,0.8251177094253019,0.6950953568416214,0.8686084960624906
42,0.31274867554505664,0.6584715932412013,0.43358484,0.8265178993132702,0.6920277168857348,0.8671053459362125
43,0.327298574646314,0.772252378991718,0.59637374,0.8314202434346173,0.702818073200911,0.8735474461681146
44,0.3185267647107442,0.610629941399063,0.37286893,0.8245729815844736,0.6938268538225116,0.8679150844814686
45,0.3190341641505559,0.5296596114657229,0.2805393,0.8353545975917908,0.6983385882504589,0.8712296116222508
46,0.341283463438352,0.5444168430368763,0.2963897,0.8292836377022024,0.6961813925313126,0.8695826354704654
47,0.3153986925880114,0.8307796969138267,0.6901949,0.8347683820201142,0.6908617688530667,0.8671435280860377
48,0.3273332913716634,0.621922593715653,0.3867877,0.8113903720401869,0.6904963428680955,0.8653554955983697
49,0.3045490860939026,0.5766062505399796,0.33247477,0.8209976919542351,0.6719601061761584,0.8548797380981491
50,0.3137515475352605,0.7169640369547189,0.51403743,0.8322080295394167,0.7018715143934247,0.8718595181768795
51,0.30136769314606987,0.6147254170765083,0.37788734,0.838576483215004,0.7060797197888495,0.875888031735895
