epoch,train_loss,test_rmse,test_mse,test_pearson,test_spearman,test_ci
1,4.365210423918919,0.9320011041311347,0.86862606,0.43956055934787924,0.4949719428257155,0.6824386722466939
2,1.046280997897942,0.7804432327330014,0.60909164,0.5069067885348213,0.559962119599159,0.7097298682163183
3,0.9959286410771115,0.7677458756962424,0.5894337,0.5405514773306316,0.5834187416044758,0.7203560414760529
4,0.9486775089308853,0.7510474361316236,0.56407225,0.5789656707068772,0.5866997388168097,0.7218866211559114
5,0.908823986328085,0.7521985730955653,0.5658027,0.6072802266528513,0.603641832656713,0.729841844569693
